"customer_state","total_orders","avg_spend"
"SP",46448,109.10
"RJ",14143,124.42
"MG",12916,120.20
"RS",6134,118.83
"PR",5649,117.91
"SC",4097,123.75
"BA",3683,134.02
"DF",2355,125.90
"GO",2277,124.21
"ES",2225,120.74
"PE",1746,144.27
"CE",1426,154.11
"PA",1054,165.53
"MT",1037,146.76
"MS",811,142.33
"MA",800,146.26
"PB",586,192.13
"PI",523,161.99
"RN",521,157.59
"AL",427,184.67
"SE",375,150.86
"TO",310,156.14
"RO",273,167.34
"AM",163,135.93
"AC",91,175.07
"AP",81,165.12
"RR",46,153.42
